time_ms,lat,lon,alt_m,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,vbat_v,sat_count
0,36.85,34.75,0.11,0.0,3.19,3.63,0.0,25.21,12
200,36.85,34.75,0.41,4.04,-2.5,-1.76,90.0,25.2,16
400,36.85,34.750018106397505,1.8,8.13,4.21,0.43,90.0,25.24,11
600,36.85,34.75003621279501,2.64,7.91,-1.33,-0.07,90.0,25.25,11
800,36.85,34.75005431919252,2.39,8.18,2.61,-0.2,90.0,25.22,16
1000,36.85,34.75007242559003,3.39,7.93,0.17,-0.23,90.0,25.13,13
1200,36.85,34.75009053198753,4.66,7.96,-1.03,0.21,90.0,25.18,12
1400,36.85,34.750108638385036,5.27,8.41,-4.52,1.7,90.0,25.18,14
1600,36.85,34.75012674478254,6.15,7.8,-0.43,2.76,90.0,25.08,12
1800,36.85,34.75014485118005,6.62,7.46,-3.9,-0.0,90.0,25.17,11
2000,36.85,34.75016295757756,8.0,8.47,2.42,1.63,90.0,25.24,11
2200,36.85,34.75018106397506,8.73,8.7,3.79,-1.4,90.0,25.17,11
2400,36.85,34.75019917037257,9.25,7.96,-1.99,1.53,90.0,25.19,12
2600,36.85,34.75021727677007,10.39,7.58,0.75,-1.52,90.0,25.14,15
2800,36.85,34.750235383167585,10.93,7.99,-1.81,2.18,90.0,25.12,13
3000,36.85,34.75025348956509,11.24,7.99,-1.57,4.42,90.0,25.13,11
3200,36.85,34.750271595962595,12.44,8.02,1.94,-0.24,90.0,25.08,11
3400,36.85,34.7502897023601,12.74,7.79,-0.1,-4.39,90.0,25.07,14
3600,36.85,34.75030780875761,14.15,8.21,4.35,-1.1,90.0,25.15,16
3800,36.85,34.750325915155116,14.6,8.2,-1.21,2.46,90.0,25.15,13
4000,36.85,34.75034402155262,15.32,7.69,2.5,1.11,90.0,25.05,11
4200,36.85,34.750362127950126,15.92,8.24,0.24,0.5,90.0,25.12,12
4400,36.85,34.75038023434763,17.35,8.58,1.99,2.02,90.0,25.08,14
4600,36.85,34.75039834074514,17.64,8.11,-1.12,0.97,90.0,25.09,12
4800,36.85,34.75041644714265,18.31,7.98,-0.12,2.44,90.0,25.09,17
5000,36.85,34.75043455354015,19.11,8.03,-0.29,1.84,90.0,25.1,16
5200,36.85,34.75045265993766,20.19,8.22,-2.09,3.04,90.0,25.06,13
5400,36.85,34.75047076633516,20.9,7.63,1.66,0.72,90.0,25.11,17
5600,36.85,34.750488872732674,21.68,8.11,1.63,1.81,90.0,25.06,13
5800,36.85,34.75050697913018,22.46,7.97,1.48,-0.61,90.0,25.07,11
6000,36.85,34.750525085527684,23.83,8.53,3.84,-1.2,90.0,25.0,17
6200,36.85,34.75054319192519,23.7,8.02,3.62,3.41,90.0,25.12,17
6400,36.85,34.750561298322694,24.44,8.48,-0.94,0.43,90.0,25.04,13
6600,36.85,34.750579404720206,25.1,7.79,0.93,1.61,90.0,25.05,15
6800,36.85,34.75059751111771,26.37,8.21,-1.56,0.25,90.0,24.95,12
7000,36.85,34.750615617515216,27.32,8.14,0.06,-1.17,90.0,24.97,15
7200,36.85,34.75063372391272,27.65,7.85,-1.5,0.02,90.0,25.05,15
7400,36.85,34.750651830310225,28.17,8.11,4.05,2.87,90.0,25.01,15
7600,36.85,34.75066993670774,28.94,8.37,0.91,1.11,90.0,24.91,14
7800,36.85,34.75068804310524,30.23,7.98,-0.55,-3.42,90.0,25.03,15
8000,36.85,34.75070614950275,30.26,7.64,2.98,-9.11,90.0,24.96,14
8200,36.85,34.75072425590025,30.19,8.06,-5.43,-5.86,90.0,25.03,16
8400,36.85,34.75074236229776,29.77,7.84,-5.04,-6.79,90.0,24.97,12
8600,36.85,34.75076046869527,30.08,7.98,1.99,-8.26,90.0,24.97,14
8800,36.85,34.750778575092774,30.04,8.04,0.15,-6.76,90.0,25.01,13
9000,36.85,34.75079668149028,30.08,7.64,0.63,-10.32,90.0,24.92,14
9200,36.85,34.75081478788778,30.31,7.66,-3.32,-7.94,90.0,24.91,11
9400,36.85,34.750832894285296,30.08,8.19,-0.06,-7.71,90.0,24.93,13
9600,36.85,34.7508510006828,30.24,7.93,5.01,-8.94,90.0,24.97,17
9800,36.85,34.750869107080305,30.02,7.42,2.06,-7.13,90.0,24.88,11
10000,36.85,34.75088721347781,30.1,8.26,0.42,-9.56,90.0,24.86,15
10200,36.85,34.750905319875315,30.22,8.13,-1.1,-6.98,90.0,24.95,15
10400,36.85,34.75092342627283,29.49,7.89,-0.99,-6.9,90.0,24.89,14
