loopIteration,time (us),GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),attitude[0],attitude[1],attitude[2],vbat (V),GPS_numSat
0,0,351980000,333549999,11,4.64,38,-39,0,25.23,9
1,20000,351980006,333550052,24,6.21,-13,0,1,25.19,11
2,40000,351980006,333550104,20,8.46,-10,142,2,25.19,9
3,60000,351980001,333550156,0,4.29,-16,0,3,25.17,13
4,80000,351980000,333550209,43,6.74,8,177,4,25.19,10
5,100000,351979993,333550261,0,6.09,22,29,6,25.18,10
6,120000,351979997,333550313,0,5.94,25,18,7,25.22,10
7,140000,351980014,333550365,0,5.61,-99,97,8,25.21,10
8,160000,351980012,333550417,2,5.7,-65,17,9,25.19,12
9,180000,351980009,333550469,36,7.32,-159,49,10,25.18,11
10,200000,351980018,333550521,33,6.8,46,-23,12,25.11,11
11,220000,351980024,333550573,8,4.88,65,-34,13,25.17,10
12,240000,351980029,333550625,47,7.95,76,-8,14,25.2,12
13,260000,351980023,333550676,14,4.52,7,41,15,25.21,12
14,280000,351980026,333550728,47,6.88,67,-4,16,25.1,10
15,300000,351980036,333550779,0,6.3,-3,-70,18,25.12,13
16,320000,351980026,333550831,0,7.52,-8,54,19,25.19,13
17,340000,351980025,333550882,45,6.51,-93,21,20,25.16,10
18,360000,351980009,333550933,0,7.35,-48,15,21,25.18,10
19,380000,351980000,333550984,3,6.05,-36,-1,22,25.17,13
20,400000,351979984,333551035,12,7.25,53,-85,24,25.2,10
21,420000,351979985,333551085,0,6.5,98,111,25,25.13,12
22,440000,351979976,333551136,0,8.66,-29,5,26,25.16,13
23,460000,351979982,333551186,74,5.25,20,56,27,25.21,13
24,480000,351979987,333551236,0,7.52,15,101,28,25.19,10
25,500000,351979989,333551286,56,6.64,-47,87,30,25.15,13
26,520000,351979967,333551336,113,6.3,-104,40,31,25.19,9
27,540000,351979965,333551385,23,5.41,-46,30,32,25.19,14
28,560000,351979968,333551435,22,6.62,-87,45,33,25.15,13
29,580000,351979972,333551484,53,4.32,-20,76,34,25.2,13
30,600000,351979960,333551532,98,4.44,-9,59,36,25.2,14
31,620000,351979959,333551581,0,6.94,-12,6,37,25.17,9
32,640000,351979952,333551630,30,4.22,-11,52,38,25.2,11
33,660000,351979947,333551678,20,7.81,27,49,39,25.14,11
34,680000,351979961,333551726,50,5.76,-57,65,40,25.19,11
35,700000,351979957,333551773,35,6.39,51,40,42,25.17,11
36,720000,351979960,333551821,56,6.18,-101,100,43,25.14,9
37,740000,351979972,333551868,13,6.59,2,40,44,25.15,14
38,760000,351979969,333551914,33,5.75,21,75,45,25.2,11
39,780000,351979971,333551961,5,5.65,-49,32,46,25.15,14
40,800000,351979976,333552007,6,5.94,-97,0,48,25.16,12
41,820000,351979980,333552053,28,7.35,36,-18,49,25.15,10
42,840000,351979971,333552099,29,7.45,-41,21,50,25.14,12
43,860000,351979975,333552144,0,7.62,45,57,51,25.19,14
44,880000,351979992,333552189,99,6.53,44,94,52,25.23,12
45,900000,351979980,333552233,32,5.85,-1,25,54,25.2,11
46,920000,351979992,333552278,0,4.08,-1,3,55,25.18,9
47,940000,351979996,333552322,83,6.86,57,3,56,25.18,13
48,960000,351979993,333552365,10,7.1,20,96,57,25.15,12
49,980000,351980017,333552408,61,5.61,-57,35,58,25.14,13
50,1000000,351980028,333552451,40,7.06,8,4,60,25.12,10
51,1020000,351980019,333552494,52,7.64,31,67,61,25.2,11
52,1040000,351980023,333552536,50,6.2,10,-37,62,25.15,10
53,1060000,351980032,333552578,21,7.36,9,35,63,25.13,12
54,1080000,351980033,333552619,46,6.46,-10,27,64,25.14,10
55,1100000,351980044,333552660,127,4.01,-8,23,66,25.16,11
56,1120000,351980046,333552700,0,5.52,-57,-29,67,25.14,10
57,1140000,351980056,333552741,50,5.6,-87,80,68,25.15,13
58,1160000,351980074,333552780,65,6.73,65,116,69,25.16,13
59,1180000,351980071,333552820,7,5.06,-39,-37,70,25.19,13
60,1200000,351980076,333552858,0,5.57,11,36,72,25.11,14
61,1220000,351980075,333552897,137,4.94,-91,63,73,25.16,12
62,1240000,351980079,333552935,36,6.05,7,145,74,25.13,10
63,1260000,351980071,333552972,135,6.18,-51,8,75,25.13,14
64,1280000,351980068,333553010,74,7.26,175,-18,76,25.19,10
65,1300000,351980070,333553046,57,7.05,-62,29,78,25.16,12
66,1320000,351980082,333553082,74,6.29,-59,133,79,25.13,9
67,1340000,351980097,333553118,81,6.38,54,33,80,25.16,9
68,1360000,351980087,333553153,103,6.22,66,43,81,25.14,14
69,1380000,351980082,333553188,74,6.23,-127,120,82,25.18,12
70,1400000,351980092,333553222,64,7.95,13,-79,84,25.13,9
71,1420000,351980075,333553256,66,3.11,50,-81,85,25.16,10
72,1440000,351980074,333553289,114,5.88,-74,76,86,25.13,11
73,1460000,351980077,333553322,93,6.47,39,69,87,25.14,13
74,1480000,351980092,333553355,21,7.45,-33,-41,88,25.13,14
75,1500000,351980103,333553386,37,4.78,-61,56,90,25.12,10
76,1520000,351980103,333553418,76,6.51,-22,32,91,25.14,9
77,1540000,351980102,333553448,39,7.13,-29,41,92,25.17,12
78,1560000,351980103,333553479,49,5.56,-84,-11,93,25.12,11
79,1580000,351980122,333553508,27,3.8,131,6,94,25.12,10
80,1600000,351980121,333553538,56,5.66,-28,-14,96,25.14,9
81,1620000,351980121,333553566,84,4.65,-46,32,97,25.11,12
82,1640000,351980128,333553594,108,6.87,49,18,98,25.16,13
83,1660000,351980130,333553622,69,5.07,-6,116,99,25.15,12
84,1680000,351980131,333553649,153,8.23,77,62,100,25.06,14
85,1700000,351980124,333553675,67,6.26,-17,-50,102,25.11,13
86,1720000,351980127,333553701,199,5.13,19,51,103,25.1,13
87,1740000,351980126,333553727,112,5.49,3,103,104,25.15,9
88,1760000,351980141,333553752,93,4.78,8,44,105,25.15,13
89,1780000,351980151,333553776,54,6.56,-14,85,106,25.09,11
90,1800000,351980154,333553800,0,7.88,-7,28,108,25.1,11
91,1820000,351980164,333553823,69,5.83,98,66,109,25.12,13
92,1840000,351980164,333553845,83,7.2,-42,-17,110,25.11,9
93,1860000,351980178,333553867,154,4.96,-34,70,111,25.14,11
94,1880000,351980181,333553888,23,6.46,-22,-40,112,25.15,13
95,1900000,351980190,333553909,155,8.86,32,96,114,25.14,10
96,1920000,351980180,333553929,69,4.41,22,-47,115,25.15,14
97,1940000,351980187,333553949,109,7.57,53,-78,116,25.15,13
98,1960000,351980174,333553968,0,7.5,-81,57,117,25.12,14
99,1980000,351980157,333553986,88,3.84,13,21,118,25.1,13
100,2000000,351980157,333554004,69,4.37,-12,35,120,25.1,10
101,2020000,351980151,333554022,111,4.92,-18,51,121,25.14,11
102,2040000,351980156,333554038,88,7.25,8,28,122,25.14,13
103,2060000,351980182,333554054,40,5.58,-118,-15,123,25.14,14
104,2080000,351980177,333554070,124,5.89,14,40,124,25.1,11
105,2100000,351980174,333554084,115,6.94,6,47,126,25.1,13
106,2120000,351980180,333554099,112,6.23,-86,55,127,25.12,12
107,2140000,351980188,333554112,129,6.36,-7,131,128,25.15,14
108,2160000,351980189,333554125,134,5.71,90,-7,129,25.12,13
109,2180000,351980191,333554137,89,7.44,-24,33,130,25.12,12
110,2200000,351980201,333554149,37,5.16,33,58,132,25.08,9
111,2220000,351980210,333554160,37,8.1,-15,7,133,25.12,14
112,2240000,351980203,333554171,147,5.69,-50,-31,134,25.12,10
113,2260000,351980205,333554180,122,5.13,-56,0,135,25.08,13
114,2280000,351980209,333554190,99,6.87,-25,84,136,25.16,14
115,2300000,351980202,333554198,78,6.63,75,16,138,25.08,11
116,2320000,351980208,333554206,97,3.71,46,61,139,25.13,13
117,2340000,351980202,333554214,98,6.36,-43,-7,140,25.1,9
118,2360000,351980215,333554220,84,4.47,57,52,141,25.11,12
119,2380000,351980221,333554226,71,5.09,-9,-4,142,25.08,13
120,2400000,351980225,333554232,186,7.03,-42,-13,144,25.08,14
121,2420000,351980222,333554237,110,5.05,23,35,145,25.12,11
122,2440000,351980224,333554241,77,6.52,-55,32,146,25.09,14
123,2460000,351980208,333554244,50,5.63,-95,105,147,25.09,14
124,2480000,351980200,333554247,74,8.41,75,-53,148,25.12,9
125,2500000,351980207,333554250,132,5.97,-110,56,150,25.12,14
126,2520000,351980189,333554251,135,4.68,30,112,151,25.1,11
127,2540000,351980201,333554252,97,4.76,-92,99,152,25.1,13
128,2560000,351980186,333554253,108,5.0,-3,10,153,25.14,9
129,2580000,351980197,333554252,95,6.24,-13,-4,154,25.09,12
130,2600000,351980192,333554252,64,6.08,-27,4,156,25.1,9
131,2620000,351980203,333554250,161,7.25,-131,45,157,25.1,12
132,2640000,351980208,333554248,124,6.28,-8,39,158,25.05,11
133,2660000,351980196,333554245,209,6.24,-3,47,159,25.03,12
134,2680000,351980212,333554242,81,6.47,-54,60,160,25.09,9
135,2700000,351980230,333554238,107,5.93,-5,-24,162,25.11,11
136,2720000,351980232,333554233,148,6.43,57,-27,163,25.09,9
137,2740000,351980233,333554228,104,7.02,-44,-32,164,25.07,11
138,2760000,351980235,333554222,59,7.02,13,-38,165,25.07,10
139,2780000,351980228,333554215,77,5.43,-69,24,166,25.11,14
140,2800000,351980242,333554208,120,3.96,21,45,168,25.07,11
141,2820000,351980240,333554201,131,5.11,36,159,169,25.04,9
142,2840000,351980243,333554192,114,6.42,145,57,170,25.1,12
143,2860000,351980239,333554183,159,3.09,52,30,171,25.09,14
144,2880000,351980236,333554174,159,5.51,24,102,172,25.09,9
145,2900000,351980226,333554163,133,6.62,81,-7,174,25.11,9
146,2920000,351980242,333554152,122,5.4,-60,47,175,25.12,9
147,2940000,351980244,333554141,112,4.73,61,79,176,25.09,9
148,2960000,351980257,333554129,145,8.18,-33,70,177,25.07,14
149,2980000,351980260,333554116,160,7.74,-38,50,178,25.01,13
150,3000000,351980257,333554103,127,5.76,63,12,180,25.08,10
151,3020000,351980257,333554089,143,7.66,12,-33,181,25.07,9
152,3040000,351980255,333554075,113,7.63,77,22,182,25.11,9
153,3060000,351980258,333554060,71,4.72,-87,0,183,25.11,12
154,3080000,351980258,333554044,88,9.29,14,65,184,25.09,10
155,3100000,351980258,333554028,159,4.95,-32,23,186,25.11,10
156,3120000,351980247,333554011,147,5.76,-17,58,187,25.07,13
157,3140000,351980243,333553994,194,4.76,-114,-52,188,25.07,14
158,3160000,351980263,333553976,133,6.16,54,79,189,25.04,10
159,3180000,351980259,333553957,167,4.49,11,-13,190,25.06,12
160,3200000,351980252,333553938,186,6.06,-59,-50,192,25.07,10
161,3220000,351980259,333553918,173,7.37,-80,-40,193,25.1,10
162,3240000,351980276,333553898,110,6.32,-52,-2,194,25.04,10
